,Chave,Valor
80,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot044790577903136_-23dot545841743585104_-49dot040735465669165_-23dot54168949327815/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
81,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot144952732082466_-23dot130276030614258_-49dot1386445250936_-23dot12433221227621/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
82,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot75346693126317_-23dot60980179181442_-48dot73925354977408_-23dot60277493259828/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
83,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-46dot82819761433821_-22dot2665309141377_-46dot82300404391045_-22dot26503109605861/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
84,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-46dot76100363108608_-22dot453131031982103_-46dot75500017931478_-22dot449354619156253/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
85,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-46dot85730302954369_-22dot369587710559_-46dot84989158472882_-22dot36570495483728/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
86,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot247540337528896_-23dot85752125410255_-49dot23467890630644_-23dot851795492767724/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
87,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot72759545108054_-23dot96076044553808_-48dot72117435920927_-23dot956082333842467/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
88,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot03059719641404_-23dot726492947221544_-49dot020361143052234_-23dot714568830287252/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
89,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot32219033763925_-23dot91794633343439_-49dot31602271577566_-23dot914463840333887/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot32219033763925_-23dot91794633343439_-49dot31602271577566_-23dot914463840333887/eopatch_0_col-0_row-0' does not exist
90,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot946964043462515_-23dot691521085201956_-48dot94272196162714_-23dot68730640083392/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
91,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot73271584820001_-23dot931668158114427_-48dot72270788945746_-23dot92275483680165/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
92,/agrilearn_app/datasets/base/eopatch/input_model/start_2022-09-01_end_2023-05-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot36665236992131_-23dot80329890401375_-48dot36303910878482_-23dot79726019161016/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
